Colony,Species,No. of adults,Dominant Period (min),Pearson r: MLD vs. Activity,P-value: MLD vs. Activity,Chosen cycle bounds,Wilcoxon signed rank test P-value: Inactive vs. Adjacent locations,Pearson r: Pile coverage vs. No. of inactive ants in pile,P-value: Pile coverage vs. No. of inactive ants in pile
RN1,L. AF-can,56,22.68739966,-0.6032,<1e14,"[18030,19770]",2.46E-10,-0.871309229,1.21E-18
RN2,L. AF-can,20,17.19383376,-0.6188,<1e14,"[22620,23520]",8.80E-06,-0.893407283,6.99E-11
RN3,L. AF-can,136,34.38766752,-0.3619,<1e14,"[10860,13230]",1.72E-14,-0.446867787,4.11E-05
RN5,L. retractus,29,26.06097867,-0.79,<1e14,"[8130,9900]",2.46E-10,-0.930263512,4.68E-26
RN6,L. retractus,47,22.68739966,-0.7706,<1e14,"[18360,19710]",1.23E-06,-0.915345778,3.40E-18
RN7,L. retractus,35,21.16809238,-0.6793,<1e14,"[9870,10740]",4.95E-05,-0.861389994,3.99E-09
RN8,L. AF-erg,38,14.96810166,-0.6186,<1e14,"[22530,23490]",5.93E-06,-0.920515191,2.31E-13
RN10,L. AF-can,119,18.42789474,-0.6331,<1e14,"[10890,11850]",9.31E-10,-0.918109239,3.51E-13
RN11,L. AF-can,13,17.19383376,-0.6799,<1e14,"[30150,30750]",0.001097051,-0.883396976,5.39E-07
RN12,L. AF-can,64,48.63150578,-0.6516,<1e14,"[15450,17820]",1.72E-14,-0.724215437,6.72E-14
RN13,L. AF-can,38,14.96810166,-0.543,<1e14,"[11340,12300]",9.31E-10,-0.65887876,5.57E-05
RN14,L. AF-can,50,36.85578948,-0.7587,<1e14,"[25470,26970]",3.55E-15,-0.84616271,1.93E-14
RN17,L. AF-can,32,19.75052856,-0.5126,<1e14,"[19110,20760]",3.61E-10,-0.637705459,2.15E-07
RN18,L. AF-can,28,18.42789474,-0.451,<1e14,"[23220,24480]",0.022494271,-0.402265608,0.009126652
RN19,L. AF-can,40,18.42789474,-0.542,<1e14,"[22500,23280]",2.21E-05,-0.849012562,8.10E-08
RN20,L. AF-can,19,18.42789474,-0.7799,<1e14,"[16590,17790]",2.59E-07,-0.918371245,1.79E-16
RN21,L. retractus,91,17.19383376,-0.592,<1e14,"[15840,16890]",1.50E-06,-0.893544913,1.16E-12
RN22,L. AF-can,109,19.75052856,-0.6917,<1e14,"[29400,30480]",5.82E-11,-0.785739574,2.25E-08
RN23,L. AF-can,96,16.04241415,-0.664,<1e14,"[11910,12840]",5.93E-06,-0.874361565,2.73E-10
