Time,Subject
6.35,l9
6.574,l8
16.424,l4
20.327,l13
68.326,l6
81.424,l16
110.606,l6
224.824,l10
290.953,l19
297.224,l9
325.169,l6
361.71,l9
376.245,l12
415.187,l8
422.539,l9
641.958,l5
665.263,l13
675.663,l9
677.238,l5
681.918,l11
712.782,l19
975.805,l17
1019.8,l11
1034.112,l17
1078.736,l1
1081.315,l19
1130.086,l5
1336.76,l5
1807.112,l11
1826.124,l12
1853.013,l15
1941.078,l3
2015.574,l3
2125.283,l8
2160.216,l13
2440.509,l5
2475.858,l10
2557.096,l9
2759.379,l1
2880.782,l10
2972.133,l11
2977.29,l1
3032.016,l7
3049.659,l4
3061.76,l18
3063.98,l3
3071.815,l2
3097.117,l9
3138.514,l1
3207.045,l12
3229.882,l13
3321.781,l9
3345.793,l7
3395.923,l13
3401.231,l14
3911.043,l20
3917.512,l1
3974.072,l19
3983.817,l16
4023.164,l20
4039.3,l2
4041.755,l15
4110.037,l9
4127.646,l10
4159.077,l13
4177.712,l17
4225.597,l13
4308.907,l13
4328.127,l2
4698.261,l12
4764.227,l11
5003.936,l12
5040.853,l3
5048.229,l12
5080.714,l1
5105.255,l12
5121.45,l16
5136.586,l13
5144.743,l7
5147.974,l4
5172.775,l12
5183.887,l9
5221.367,l9
5253.535,l12
5264.311,l9
5272.615,l9
5286.78,l7
5336.997,l6
5354.804,l7
5377.732,l16
5402.483,l4
5539.162,l9
6231.107,l2
6255.157,l9
6260.109,l12
6290.162,l19
6296.978,l5
6315.701,l4
6321.477,l12
6324.818,l10
6369.677,l9
6369.813,l19
6376.573,l17
6384.117,l13
6401.117,l13
6465.621,l13
6487.394,l17
6531.159,l10
6567.685,l13
6602.007,l9
6712.553,l4
6847.679,l8
6850.226,l5
6895.414,l4
7246.556,l11
7326.649,l13
7335.968,l20
7441.984,l4
7442.712,l19
7517.327,l12
8126.927,l4
8159.99,l9
8162.997,l20
8165.706,l4
8215.351,l2
8221.245,l14
8265.994,l12
8322.292,l14
8327.522,l2
8333.271,l20
8439.039,l10
8836.466,l20
9192.895,l11
9289.186,l9
9331.108,l4
9354.855,l18
9380.391,l15
9420.342,l4
9525.862,l17
9541.743,l4
9626.25,l13
9673.547,l17
10086.647,l15
10101.695,l20
10119.809,l3
10207.817,l15
10230.052,l4
10246.82,l4
10249.62,l2
10275.556,l15
10280.425,l7
10315.519,l12
10320.681,l9
10358.11,l19
10394.456,l13
10460.452,l17
10628.703,l13
